Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify Schema json,,,,2025-10-26 13:17:25,2025-10-26 13:18:05,39.759s,ERROR
,,,,,,,
Test Cases/Verifikasi Schema/POST - Create a New User,,,,2025-10-26 13:17:26,2025-10-26 13:17:50,24.047s,PASSED
defaultPackage.RandomData.setRandomUserData(),,,,2025-10-26 13:17:30,2025-10-26 13:17:33,3.410s,PASSED
"println(""Random ID yang digunakan: "" + randomId)",,,,2025-10-26 13:17:33,2025-10-26 13:17:33,0.014s,PASSED
"response = sendRequestAndVerify(findTestObject(""POST - Create a New User""))",,,,2025-10-26 13:17:33,2025-10-26 13:17:50,16.148s,PASSED
println(response.getResponseBodyContent()),,,,2025-10-26 13:17:50,2025-10-26 13:17:50,0.016s,PASSED
"schemaPath = getProjectDir() + ""/Include/schemas/create_a_new_user.json""",,,,2025-10-26 13:17:50,2025-10-26 13:17:50,0.015s,PASSED
schemaFile = new java.io.File(schemaPath),,,,2025-10-26 13:17:50,2025-10-26 13:17:50,0.008s,PASSED
schemaJson = new org.json.JSONObject(new org.json.JSONTokener(new java.io.FileInputStream(schemaFile))),,,,2025-10-26 13:17:50,2025-10-26 13:17:50,0.238s,PASSED
responseJson = new org.json.JSONArray(response.getResponseBodyContent()),,,,2025-10-26 13:17:50,2025-10-26 13:17:50,0.029s,PASSED
load(schemaJson).validate(responseJson),,,,2025-10-26 13:17:50,2025-10-26 13:17:50,0.643s,PASSED
,,,,,,,
Test Cases/Verifikasi Schema/GET - All Users,,,,2025-10-26 13:17:50,2025-10-26 13:17:54,3.500s,ERROR
"response = sendRequestAndVerify(findTestObject(""GET - All Users""))",,,,2025-10-26 13:17:52,2025-10-26 13:17:54,1.454s,PASSED
println(response.getResponseBodyContent()),,,,2025-10-26 13:17:54,2025-10-26 13:17:54,0.003s,PASSED
"schemaPath = getProjectDir() + ""/Include/schemas/get_ all_users.json""",,,,2025-10-26 13:17:54,2025-10-26 13:17:54,0.060s,PASSED
schemaFile = new java.io.File(schemaPath),,,,2025-10-26 13:17:54,2025-10-26 13:17:54,0.015s,PASSED
schemaJson = new org.json.JSONObject(new org.json.JSONTokener(new java.io.FileInputStream(schemaFile))),,,,2025-10-26 13:17:54,2025-10-26 13:17:54,0.084s,PASSED
responseJson = new org.json.JSONArray(response.getResponseBodyContent()),,,,2025-10-26 13:17:54,2025-10-26 13:17:54,0.087s,PASSED
load(schemaJson).validate(responseJson),,,,2025-10-26 13:17:54,2025-10-26 13:17:54,0.199s,ERROR
,,,,,,,
Test Cases/Verifikasi Schema/GET - Single User,,,,2025-10-26 13:17:54,2025-10-26 13:17:58,3.660s,PASSED
defaultPackage.RandomData.setRandomUserData(),,,,2025-10-26 13:17:55,2025-10-26 13:17:55,0.012s,PASSED
"println(""Random ID yang digunakan: "" + randomId)",,,,2025-10-26 13:17:55,2025-10-26 13:17:55,0.001s,PASSED
"response = sendRequestAndVerify(findTestObject(""GET - Single User"", [""UserId"":randomId]))",,,,2025-10-26 13:17:55,2025-10-26 13:17:58,2.417s,PASSED
println(response.getResponseBodyContent()),,,,2025-10-26 13:17:58,2025-10-26 13:17:58,0.002s,PASSED
"schemaPath = getProjectDir() + ""/Include/schemas/get_single_user.json""",,,,2025-10-26 13:17:58,2025-10-26 13:17:58,0.001s,PASSED
schemaFile = new java.io.File(schemaPath),,,,2025-10-26 13:17:58,2025-10-26 13:17:58,0.003s,PASSED
schemaJson = new org.json.JSONObject(new org.json.JSONTokener(new java.io.FileInputStream(schemaFile))),,,,2025-10-26 13:17:58,2025-10-26 13:17:58,0.003s,PASSED
responseJson = new org.json.JSONArray(response.getResponseBodyContent()),,,,2025-10-26 13:17:58,2025-10-26 13:17:58,0.002s,PASSED
load(schemaJson).validate(responseJson),,,,2025-10-26 13:17:58,2025-10-26 13:17:58,0.011s,PASSED
,,,,,,,
Test Cases/Verifikasi Schema/PATCH - Update a User,,,,2025-10-26 13:17:58,2025-10-26 13:18:02,4.234s,PASSED
defaultPackage.RandomData.setRandomUserData(),,,,2025-10-26 13:17:59,2025-10-26 13:17:59,0.008s,PASSED
"println(""Random ID yang digunakan: "" + randomId)",,,,2025-10-26 13:17:59,2025-10-26 13:17:59,0.003s,PASSED
"response = sendRequestAndVerify(findTestObject(""PATCH - Update a User"", [""UserId"":randomId]))",,,,2025-10-26 13:17:59,2025-10-26 13:18:02,2.571s,PASSED
println(response.getResponseBodyContent()),,,,2025-10-26 13:18:02,2025-10-26 13:18:02,0.009s,PASSED
"schemaPath = getProjectDir() + ""/Include/schemas/update_a_user.json""",,,,2025-10-26 13:18:02,2025-10-26 13:18:02,0.001s,PASSED
